lambda sigmaxx
1.044599 -0.00263196021967112
1.044699 -0.0123878614777648
1.044799 0.0117031019611242
1.044899 -0.0196760431759757
1.044999 0.00362396631113633
1.045099 0.00511289104938186
1.045199 0.00989046739414082
1.045299 0.0210275334182205
1.045399 -0.0202358025574168
1.045499 -0.0133670676942577
1.045599 0.00416635838501189
1.045699 0.00178719041626848
1.045799 -0.00286037656740894
1.045899 -0.0374154029097615
1.045999 0.0239241793259965
1.046099 0.0239647299624056
1.046199 0.0138587447926274
1.046299 0.0268463076581274
1.046399 -0.0268985618923744
1.046499 -0.0294924482713218
1.046599 -0.0471274232639645
1.046699 -0.0182996085077171
1.046799 0.00310175165108322
1.046899 -0.000304288910395297
1.046999 -0.00837575911752895
1.047099 0.0240882941858653
1.047199 0.0240382622460511
1.047299 -0.00247782595101939
1.047399 -0.023208480144209
1.047499 -0.0183729455098765
1.047599 0.00586551882222357
1.047699 0.019830867490989
1.047799 0.0203672479730153
1.047899 0.0346414275191323
1.047999 0.0221530180741788
1.048099 0.0139017334049775
1.048199 0.00919882332209092
1.048299 -0.00377280600911252
1.048399 0.0114681822107949
1.048499 -0.0351250865357117
1.048599 -0.013212596123702
1.048699 -0.0185125731640947
1.048799 -0.0341049762524828
1.048899 0.00938092289715625
1.048999 -0.00171042990482035
1.049099 0.0152851574444366
1.049199 0.00550318040819607
1.049299 0.0271244723562921
1.049399 -0.000642954383798755
1.049499 -0.0531237098888942
1.049599 -0.0144491840179466
1.049699 0.0337829040722022
1.049799 -0.0305681327508125
1.049899 0.0151137691089415
1.049999 0.00920363399237534
1.050099 0.00196514762661544
1.050199 -0.000273741032839485
1.050299 -0.00587313331502456
1.050399 -0.000933504950406456
1.050499 0.0258818919335135
1.050599 -0.0172704795647307
1.050699 -0.03782556283884
1.050799 -0.00825183611414046
1.050899 0.0057722336969544
1.050999 0.0209884918503738
1.051099 0.0280973241033057
1.051199 0.0171974091106788
1.051299 -0.0133020940146332
1.051399 -0.00668559880106986
1.051499 0.0178782428715881
1.051599 0.00656787742807188
1.051699 0.0270738876513832
1.051799 -0.0356267241381915
1.051899 -0.0219339186011688
1.051999 -0.00997517714601566
1.052099 0.00431411735222083
1.052199 0.000613092274786963
1.052299 0.00473498034928342
1.052399 0.00805753784569842
1.052499 -0.0032101006492284
1.052599 0.000290114502682273
1.052699 -0.0138995942704933
1.052799 -0.0104729614871601
1.052899 0.0299085516361753
1.052999 -0.0134425563506908
1.053099 -0.0102240551920026
1.053199 0.00898949791943876
1.053299 0.0270257085967054
1.053399 0.016399105258294
1.053499 -0.00909028029434453
1.053599 0.00593516272572085
1.053699 -0.00338514161854829
1.053799 0.0090195668175039
1.053899 0.000422768242781547
1.053999 -0.00424185232302833
1.054099 -0.0183741476343271
1.054199 -0.0395808520823602
1.054299 -0.0438963715336597
1.054399 -0.0100514928322418
1.054499 -0.00624872318739362
1.054599 0.0229853541020932
1.054699 0.01927266545146
1.054799 0.0297299427255978
1.054899 0.0122565261302203
1.054999 0.00531450597783611
1.055099 -0.0185351387374326
1.055199 -0.00617642133026904
1.055299 0.0134269261261701
1.055399 -0.0188337045371846
1.055499 -0.000780913775143629
1.055599 0.0341140770571179
1.055699 0.0401180256180116
1.055799 -0.0047251243574359
1.055899 -0.0150735434673458
1.055999 -0.0193113453611054
1.056099 -0.0179139270272363
1.056199 -0.0231740445802334
1.056299 -0.0119903510719397
1.056399 0.00540042918441475
1.056499 -0.0129972148435215
1.056599 -0.0027035488075097
1.056699 -0.0188971135111704
1.056799 0.00372906988555798
1.056899 0.0200903841903021
1.056999 0.0141657066821901
1.057099 0.0342271966711389
1.057199 -0.0111772361376381
1.057299 -0.00304377653305686
1.057399 0.0121763599957133
1.057499 0.0115890677819202
1.057599 0.0225810951680722
1.057699 -0.0227363977601234
1.057799 -0.0344139525382308
1.057899 0.00323075169394981
1.057999 0.0192522928051819
1.058099 -0.00541448711415557
1.058199 -0.00690039421279116
1.058299 -0.00593043535830175
1.058399 0.0101241914520883
1.058499 0.00262803687591477
1.058599 -0.0409249493120115
1.058699 -0.0132772383502147
1.058799 0.0147177757656452
1.058899 0.0328579144759038
1.058999 0.0151698559426135
1.059099 0.0160715237030048
1.059199 -0.000744705134670245
1.059299 -0.015229234148401
1.059399 0.00310912715592348
1.059499 -0.0364896709916566
1.059599 -0.00434261908629188
1.059699 0.00341631185813359
1.059799 0.0240115305051976
1.059899 0.01206283398836
1.059999 0.0186675705663108
1.060099 0.0145837613808078
1.060199 0.00858718651114057
1.060299 -0.0347346952178868
1.060399 -0.0465569512897403
1.060499 -0.012922129429561
1.060599 0.00709050436951787
1.060699 0.0025218316374673
1.060799 0.0212252484453096
1.060899 0.00905299176184138
1.060999 -0.00332855398248284
1.061099 -0.0142785965624563
1.061199 -0.022244050822702
1.061299 -0.0102165953998714
1.061399 -0.0273417509872644
1.061499 -0.00567954316410743
1.061599 0.0153422940100458
1.061699 0.019910241717918
1.061799 0.00651493418348463
1.061899 0.0362236704569879
1.061999 0.0310620820676844
1.062099 0.0260225800971597
1.062199 -0.0135426219216475
1.062299 -0.01754206853267
1.062399 -0.0222130812081425
1.062499 -0.0319253769103138
1.062599 -0.00881723187059168
1.062699 0.0436771527779936
1.062799 0.00657917024589083
1.062899 0.0184407967175999
1.062999 0.0471903125495138
1.063099 0.00721466124373065
1.063199 -0.00594984983732567
1.063299 -0.0375242178944424
1.063399 -0.0325441621696359
1.063499 -0.0088778696281586
1.063599 -0.0121462550219076
1.063699 0.0126049810297852
1.063799 0.0124481906226955
1.063899 -0.0166243559058937
1.063999 -0.00945220402206799
1.064099 0.00575239308988007
1.064199 -0.0173022451292399
1.064299 -0.0121271675270277
1.064399 -0.0179092335677499
